,lat_dd_mod,lon_dd_mod,total_cons_ann,hh_size,cons_pp
0,3.45570056699,39.5159939261,416524.138671875,69,6036.581719882246
1,3.54993726091,39.1842340255,462604.55078125,90,5140.050564236111
2,3.8642429801,39.1013658071,238283.474609375,53,4495.9146152712265
3,3.98293116381,38.4913678893,177837.7421875,56,3175.6739676339284
4,4.04819412104,41.9309280688,13701.455078125,4,3425.36376953125
5,4.2353408846,38.3859126851,71119.4599609375,45,1580.4324435763888
6,4.28184427047,41.8750755047,309846.453125,64,4841.350830078125
7,4.76768886663,39.2697492018,181592.359375,44,4127.099076704545
8,4.8070976028,36.0818398582,108194.642578125,34,3182.195369944853
9,4.86583201441,39.1736734474,8632.0,3,2877.3333333333335
10,4.87905466671,39.1953787271,206468.71142578125,67,3081.62255859375
11,4.98817917691,36.4805486186,12210.0,2,6105.0
12,5.06617360457,39.8033863219,50022.0,5,10004.4
13,5.21350249941,40.0351534251,333298.9140625,73,4565.73854880137
14,5.22299798627,41.0432055896,141707.5322265625,28,5060.983293805803
15,5.25295513188,37.4271768268,89957.72949218751,79,1138.7054366099685
16,5.29947726643,37.4826182904,103822.58862304688,85,1221.442219094669
17,5.49534488804,37.5518429316,171586.01220703125,77,2228.3897689224837
18,5.51248465997,37.6022764827,46042.0,5,9208.4
19,5.52570615347,38.7620666963,210914.90673828125,89,2369.8304127896768
20,5.5541668341,37.8416513316,231135.0361328125,66,3502.0460020123105
21,5.59568261612,38.2936192427,369655.390625,81,4563.646797839506
22,5.60315524467,37.6030634072,235870.84619140625,62,3804.3684869581652
23,5.63928393085,37.3823169626,101792.39868164062,73,1394.4164202964469
24,5.64655886803,37.3818910811,83338.87579345703,72,1157.4843860202366
25,5.74709706037,37.8508868358,114874.5693359375,76,1511.5074912623356
26,5.80379577019,36.5810919609,18500.0,4,4625.0
27,5.82562469489,38.6725076713,33495.4921875,4,8373.873046875
28,5.83633941337,36.6070302097,163139.44775390625,59,2765.075385659428
29,5.85184911518,37.8832189758,115633.6669921875,78,1482.48291015625
30,5.87254139533,36.5547616695,72641.1953125,1,72641.1953125
31,5.90110061304,36.5785635622,12514.0,2,6257.0
32,5.94525407784,38.322510837,211943.8134765625,57,3718.3125171326756
33,5.94989088571,37.1552324163,84121.57226562501,70,1201.736746651786
34,5.98301240509,38.1616652609,242324.033203125,65,3728.062049278846
35,5.98817082582,37.4387863255,116361.19799804688,52,2237.715346116286
36,6.00281125449,37.5432936133,43887.0,5,8777.4
37,6.01320414316,37.5572904068,19701.4765625,2,9850.73828125
38,6.02435784991,38.3413616597,121434.86767578125,73,1663.4913380244006
39,6.04835097849,37.5568587055,17154.27734375,1,17154.27734375
40,6.05915013841,37.545217807,228695.3203125,66,3465.0806107954545
41,6.13630868631,36.6759763471,92385.43969726562,47,1965.6476531333112
42,6.13878361273,38.2843372409,216138.6396484375,58,3726.5282698006467
43,6.20010588939,36.5861907555,7544.0009765625,4,1886.000244140625
44,6.23179734158,35.8385790499,13569.484375,1,13569.484375
45,6.23385511377,37.3456169058,294500.4963378906,76,3875.0065307617188
46,6.2600677475,35.2645547968,116834.9091796875,42,2781.7835518973216
47,6.2656349463,36.6109388136,153732.52416992188,57,2697.061827542489
48,6.27761186614,38.3115215185,79369.81201171875,48,1653.5377502441406
49,6.29109687243,37.4818442988,149013.4501953125,36,4139.262505425348
50,6.33301035552,36.6032685349,167220.68530273438,43,3888.853146575218
51,6.36391514169,36.5892168406,182717.45361328125,77,2372.9539430296268
52,6.37589338272,38.7269447069,159425.18774414062,80,1992.8148468017578
53,6.39898337786,38.8768980886,195892.091796875,55,3561.6743963068184
54,6.40123809791,38.3446012616,249640.83837890625,66,3782.436945134943
55,6.43132806354,37.6603410409,35516.0,3,11838.666666666666
