,total_cons_ann,hh_size,lat_dd_mod,lon_dd_mod,cons_pp
0,2983.80004882813,1,14.353816185,37.890876313,2983.80004882813
1,13578.2001953125,9,14.353816185,37.890876313,1508.6889105902778
2,9280.4443359375,1,14.353816185,37.890876313,9280.4443359375
3,11704.0,3,14.353816185,37.890876313,3901.3333333333335
4,14974.888671875,2,14.353816185,37.890876313,7487.4443359375
5,12105.0,4,14.353816185,37.890876313,3026.25
6,10504.0,5,14.353816185,37.890876313,2100.8
7,37983.890625,5,14.353816185,37.890876313,7596.778125
8,,9,14.353816185,37.890876313,
9,59644.50390625,7,14.353816185,37.890876313,8520.64341517857
10,16526.22265625,5,14.353816185,37.890876313,3305.24453125
11,,9,14.2885896726,38.210251919,
12,33717.6796875,7,14.2885896726,38.210251919,4816.811383928572
13,46408.81640625,8,14.2885896726,38.210251919,5801.10205078125
14,,2,14.2885896726,38.210251919,
15,63394.59765625,9,14.2885896726,38.210251919,7043.844184027777
16,25767.705078125,7,14.2885896726,38.210251919,3681.1007254464284
17,48352.65625,9,14.2885896726,38.210251919,5372.517361111111
18,51476.8203125,9,14.2885896726,38.210251919,5719.646701388889
19,43992.99609375,9,14.2885896726,38.210251919,4888.110677083333
20,14438.7373046875,5,14.2885896726,38.210251919,2887.7474609375
21,16696.025390625,6,14.2885896726,38.210251919,2782.6708984375
22,9781.140625,2,14.2885896726,38.210251919,4890.5703125
23,6449.0,3,14.1097608206,38.4738350524,2149.6666666666665
24,11867.0,4,14.1097608206,38.4738350524,2966.75
25,22607.0,3,14.1097608206,38.4738350524,7535.666666666667
26,19603.0,4,14.1097608206,38.4738350524,4900.75
27,35057.51953125,4,14.1097608206,38.4738350524,8764.3798828125
28,5860.0,4,14.1097608206,38.4738350524,1465.0
29,19787.0,4,14.1097608206,38.4738350524,4946.75
30,32378.0,6,14.1097608206,38.4738350524,5396.333333333333
31,20896.21875,3,14.1097608206,38.4738350524,6965.40625
32,5467.0,1,14.1097608206,38.4738350524,5467.0
33,25097.0,3,14.1097608206,38.4738350524,8365.666666666666
34,3134.59252929688,3,13.8440840301,38.4803250395,1044.8641764322933
35,11006.0498046875,5,13.8440840301,38.4803250395,2201.2099609375
