hhid,totcons,LAT_DD_MOD,LON_DD_MOD
10001,287571.65625,5.53545594433,7.53153560163
10002,467778.3125,5.53545594433,7.53153560163
10003,268448.28125,5.53545594433,7.53153560163
10004,300254.8125,5.53545594433,7.53153560163
10005,215450.84375,5.53545594433,7.53153560163
10006,497755.875,5.53545594433,7.53153560163
10008,286830.46875,5.53545594433,7.53153560163
10009,880882.8125,5.46540908966,7.56949383789
10010,305876.8125,5.53545594433,7.53153560163
10011,138562.296875,5.55555406781,7.611029751
10012,111368.2421875,5.55555406781,7.611029751
10013,146048.1875,5.55555406781,7.611029751
10014,400572.84375,5.55555406781,7.611029751
10015,145425.109375,5.55555406781,7.611029751
10016,230158.796875,5.55555406781,7.611029751
10017,323348.375,5.55555406781,7.611029751
10018,97101.8671875,5.55555406781,7.611029751
10019,52114.765625,5.55555406781,7.611029751
10021,98926.1875,5.35086568605,7.40188916719
10022,184959.140625,5.35086568605,7.40188916719
10023,111262.609375,5.35086568605,7.40188916719
10024,136778.53125,5.35086568605,7.40188916719
10025,97223.0546875,5.35086568605,7.40188916719
10027,148879.65625,5.35086568605,7.40188916719
10028,105714.5,5.35086568605,7.40188916719
10029,1219261.75,5.35086568605,7.40188916719
10030,70841.0234375,5.35086568605,7.40188916719
10031,450113.5625,5.14203254737,7.37471602851
10032,295653.84375,5.14203254737,7.37471602851
10033,448975.0625,5.14203254737,7.37471602851
10034,123772.8046875,5.14203254737,7.37471602851
10035,285256.0625,5.14203254737,7.37471602851
10036,266562.21875,5.14203254737,7.37471602851
10037,270336.375,5.14203254737,7.37471602851
10038,133108.46875,5.14203254737,7.37471602851
10039,574783.125,6.11637020151,6.9068727711
10040,1185113.625,5.14203254737,7.37471602851
10041,351869.4375,5.11421765924,7.3745962586
10042,317518.25,6.54433641702,3.34195135318
10043,230347.015625,5.11421765924,7.3745962586
10044,73364.9765625,5.11421765924,7.3745962586
10045,450616.125,5.11421765924,7.3745962586
10046,399830.34375,5.11421765924,7.3745962586
10047,134997.40625,5.11421765924,7.3745962586
10048,150423.484375,5.11421765924,7.3745962586
10049,371492.875,5.11421765924,7.3745962586
10050,499952.4375,5.11421765924,7.3745962586
10051,174437.5,5.09037333332,7.36620770377
10052,188167.375,5.09037333332,7.36620770377
10053,274858.90625,5.09037333332,7.36620770377
10054,255030.015625,5.09037333332,7.36620770377
10055,344518.6875,5.09037333332,7.36620770377
10056,271217.96875,5.09037333332,7.36620770377
10057,135532.421875,5.09037333332,7.36620770377
10058,234060.390625,5.09037333332,7.36620770377
10059,160455.046875,5.09037333332,7.36620770377
10060,160488.3125,5.09037333332,7.36620770377
10061,63467.88671875,5.31524834074,7.4334346461
10062,121690.5859375,5.31524834074,7.4334346461
10063,140104.40625,5.31524834074,7.4334346461
10064,97996.6015625,5.31524834074,7.4334346461
10065,147610.40625,5.11615185902,7.39632754995
10066,104149.984375,5.31524834074,7.4334346461
10067,164840.453125,5.31524834074,7.4334346461
10068,177396.25,5.31524834074,7.4334346461
10069,68610.46875,5.31524834074,7.4334346461
10070,310032.53125,5.31524834074,7.4334346461
10071,87573.328125,5.91892832509,7.42249845731
10072,78113.328125,5.91892832509,7.42249845731
10073,165542.796875,5.91892832509,7.42249845731
10074,105529.1328125,5.91892832509,7.42249845731
10075,140038.921875,5.91892832509,7.42249845731
10076,172653.125,5.91892832509,7.42249845731
10077,676521.375,5.91892832509,7.42249845731
10078,59648.92578125,5.91892832509,7.42249845731
10079,246194.375,5.91892832509,7.42249845731
10080,185422.6875,5.91892832509,7.42249845731
10081,148386.75,5.77121166469,7.7768731363
10082,206022.84375,5.77121166469,7.7768731363
10083,109117.265625,5.77121166469,7.7768731363
10084,85632.2578125,5.77121166469,7.7768731363
10085,166923.75,5.77121166469,7.7768731363
10086,186809.5,5.77121166469,7.7768731363
10087,246224.125,5.77121166469,7.7768731363
10088,111949.15625,5.77121166469,7.7768731363
10089,166951.75,5.77121166469,7.7768731363
10091,290204.71875,5.38520298007,7.5278870437
10092,106899.3046875,5.38520298007,7.5278870437
10093,91753.71875,5.28980449205,7.57803727898
10094,126416.1484375,5.38520298007,7.5278870437
10096,52393.12109375,5.38520298007,7.5278870437
10097,138547.21875,5.38520298007,7.5278870437
10098,152371.015625,5.38520298007,7.5278870437
10099,165824.21875,5.38520298007,7.5278870437
10100,81626.5234375,5.38520298007,7.5278870437
10102,164923.859375,5.69861467033,7.51949932817
10103,116921.84375,5.69861467033,7.51949932817
10104,143393.796875,5.69861467033,7.51949932817
10105,79271.0390625,5.69861467033,7.51949932817
10106,108866.234375,5.69861467033,7.51949932817
10107,708529.25,5.69861467033,7.51949932817
10108,267305.15625,5.69861467033,7.51949932817
10109,135837.78125,5.69861467033,7.51949932817
10110,80820.515625,5.69861467033,7.51949932817
20001,107434.3046875,9.68199592163,11.8269506538
20002,127034.203125,9.68199592163,11.8269506538
20003,87440.3515625,8.82348866634,11.0920233258
20004,13493.240234375,9.68199592163,11.8269506538
20005,64019.53125,9.68199592163,11.8269506538
20006,50955.796875,9.68199592163,11.8269506538
20007,26354.322265625,9.68199592163,11.8269506538
20008,49920.6171875,9.68199592163,11.8269506538
20009,60399.65625,9.68199592163,11.8269506538
20010,97511.3125,9.68199592163,11.8269506538
20011,55554.16796875,8.97009279645,11.7880278886
20012,46990.1640625,9.35668119389,12.1731637317
20013,51335.06640625,9.35668119389,12.1731637317
20014,29469.8828125,9.35668119389,12.1731637317
20015,63426.6015625,9.35668119389,12.1731637317
20016,249666.546875,9.35668119389,12.1731637317
